participant;condition;order;event;target_x;target_y;mean_x;mean_y;dist_x;dist_y;euclidean;sd_x;sd_y;rmss2s;lux
12;tobii;1;4;510;340;498.2430096;338.36606820000003;11.756990399999996;5.242641533333329;13.230592317471435;5.695329500810342;6.281752909665114;51.558529796904445;474
12;tobii;1;5;1410;340;1404.4748712;335.84984865000007;6.244053600000009;4.621566183333324;8.73712866987679;6.997366637273959;4.313220572844942;57.43225945281925;474
12;tobii;1;6;960;540;954.5745824;542.5550235;8.250534400000005;4.671986400000002;10.409353997115742;8.14462813249238;5.299708300887228;67.99852754335497;474
12;tobii;1;7;510;740;482.1298904000001;730.8981175499999;27.870109599999992;11.326448083333332;31.053331247825305;13.99939577455864;13.489348738959272;99.11303735304394;474
12;tobii;1;8;1410;740;1417.7041672;746.6269000499999;8.096012;6.93632378333333;11.487452281468082;6.138101966073837;4.851945299378671;52.27389336308148;474
12;tobii;1;9;110;990;108.63106048;990.9961497000002;8.06121968;4.8952404000000005;10.116274581782884;9.123339405130302;7.06975035410061;65.60569452116236;474
12;tobii;1;10;960;940;959.1502136;921.5781732;9.180602400000003;18.421826799999995;21.33780183330197;10.646142547208468;7.06692939740972;76.94529214984743;474
12;tobii;1;11;1810;990;1835.8747248;986.59718235;25.8747248;4.656805950000003;26.64310912283009;7.382461398754827;4.6983457603107714;56.44513620684266;474
12;uniteye;0;1;110;90;251.7495371636364;77.80328149090909;141.7495371636364;12.391055672727274;142.44210403620738;16.631346597896087;7.181811225531273;170.6504020840739;478
12;uniteye;0;2;960;140;1044.909469090909;67.54133094545455;101.39841163636366;72.45866905454545;131.8206495706983;91.90832549984964;6.473029083018255;766.2462876517811;478
